Time,T1,T2,T4,T5,DP1,FW_Freq,SW_Freq,FW_Count,SW_Count,Efficiency,Engine_Load
2025-03-14 09:49:22,24.978254487485696,30.455978967971564,36.032109720655164,27.741718295778064,1.5,40.037776141947255,58.0,2,2,0.75,75.0
2025-03-14 09:49:23,25.045187955729922,30.53380366706783,36.12102130948182,27.814146294167898,1.5,40.14237801115508,56.0,2,2,0.75,75.0
2025-03-14 09:49:23,25.019593903234078,30.09667321041045,36.15091845860155,27.802425042075946,1.5,40.177551127766534,54.0,2,2,0.75,75.0
2025-03-14 09:49:24,25.02319899275503,30.284174502218967,36.13094812122209,27.800136274871797,1.5,40.15405661320246,52.0,2,2,0.75,75.0
2025-03-14 09:49:24,24.939582435654653,30.45097263452422,36.15063293066144,27.74234505940635,1.5,40.17721521254287,52.0,2,2,0.75,75.0
2025-03-14 09:49:25,24.895120872070823,30.64836499324927,36.17128973034357,27.714163086639008,1.5,40.201517329815964,50.0,2,2,0.75,75.0
2025-03-14 09:49:25,24.976085736982995,30.67992788712904,36.14898446126089,27.76931041805247,1.5,40.175275836777516,50.0,2,2,0.75,75.0
2025-03-14 09:49:26,24.90045611872681,30.863286243898866,36.124641937926086,27.70650257352663,1.5,40.14663757403069,50.0,2,2,0.75,75.0
2025-03-14 09:49:26,24.773573359576837,30.80377623194369,36.13199305808468,27.613178284203798,1.5,40.15528595068786,48.0,2,2,0.75,75.0
2025-03-14 09:49:27,24.76055539370213,30.815128179630467,36.17301315335793,27.61366983361608,1.5,40.20354488630345,46.0,2,2,0.75,75.0
2025-03-14 09:49:27,24.77652348413513,31.071930761240388,36.1658278176142,27.623849567504898,1.5,40.19509155013435,44.0,2,2,0.75,75.0
2025-03-14 09:49:28,24.869878502717444,31.336240683921833,36.06756646463835,27.66930049319767,1.5,40.07948995839806,42.0,2,2,0.75,75.0
2025-03-14 09:49:28,24.8892789564152,31.62578045468802,36.04991425493213,27.679437781044435,1.5,40.058722652861334,40.0,2,2,0.75,75.0
2025-03-14 09:49:29,24.90592196710831,31.937889429210635,36.05859085088676,27.69408918805292,1.5,40.06893041280795,38.0,2,2,0.75,75.0
2025-03-14 09:49:29,24.92641049636187,32.36520099113043,36.168319706153184,27.7368877988097,1.5,40.19802318370963,36.0,2,2,0.75,75.0
2025-03-14 09:49:30,24.906628464081688,32.723052641470325,36.125749103834245,27.71140862401983,1.5,40.147940122157934,35.0,2,2,0.75,75.0
2025-03-14 09:49:30,24.944035994781732,33.20963051776944,36.147356303184246,27.74486607188236,1.5,40.17336035668735,35.0,2,2,0.75,75.0
2025-03-14 09:49:31,24.84684367065736,33.33684091840773,36.166840000991186,27.76550231695644,1.5,40.196282354107275,35.0,2,2,0.75,75.0
2025-03-14 09:49:31,24.782427168300345,33.378075533673496,36.243291655464546,27.74278836359072,1.5,40.28622547701711,35.0,2,2,0.75,75.0
2025-03-14 09:49:32,24.748842878208734,33.36315012354242,36.23458587198698,27.720488183689326,1.5,40.27598337880821,35.0,2,2,0.75,75.0
2025-03-14 09:49:32,24.819491465283203,33.303180670840874,36.13107707269343,27.764798323805792,1.5,40.1542083208158,35.0,2,2,0.75,75.0
2025-03-14 09:49:33,24.937359560751496,33.331673246684424,36.12977780866206,27.849532548561506,1.5,40.15267977489654,35.0,2,2,0.75,75.0
2025-03-14 09:49:33,25.000396196908227,33.305228524232284,36.073505966673636,27.856682430375308,1.5,40.086477607851336,35.0,2,2,0.75,75.0
