Time,T1,T2,T4,T5,DP1,FW_Freq,SW_Freq,FW_Count,SW_Count,Efficiency,Engine_Load
2025-03-14 16:46:46,15.129170541688651,35.42565015191999,42.19114335533044,25.105126611499117,1.5,47.28369806509463,35.0,2,2,0.75,75.0
2025-03-14 16:46:46,15.138858661274487,35.45067568966111,42.221281365789984,25.165304412815512,1.5,47.31915454798822,35.0,2,2,0.75,75.0
2025-03-14 16:46:47,15.188753400844291,35.45817896290947,42.21465415026452,25.194273612498545,1.5,47.311357823840616,35.0,2,2,0.75,75.0
2025-03-14 16:46:47,15.175895330599323,35.449066503484715,42.206790227779855,25.185641354552285,1.5,47.302106150329244,35.0,2,2,0.75,75.0
2025-03-14 16:46:48,15.122842098491587,35.37445229339273,42.12498902502645,25.119140495574214,1.5,47.20586944120759,35.0,2,2,0.75,75.0
2025-03-14 16:46:48,15.122970171026328,35.46491034116856,42.2455570645493,25.155274322762622,1.5,47.347714193587414,35.0,2,2,0.75,75.0
2025-03-14 16:46:49,15.116865634231562,35.461981626477616,42.2436869572263,25.150736048232464,1.5,47.34551406732506,35.0,2,2,0.75,75.0
2025-03-14 16:46:49,15.191022391686047,35.454514440243365,42.20901178976248,25.206251488157818,1.5,47.30471975266174,35.0,2,2,0.75,75.0
2025-03-14 16:46:50,15.106145878891594,35.45805041450837,42.2420185930473,25.16427928049101,1.5,47.343551285938,35.0,2,2,0.75,75.0
2025-03-14 16:46:50,15.08940998997803,35.411837963241595,42.18598062099611,25.11700246109336,1.5,47.27762425999543,35.0,2,2,0.75,75.0
2025-03-14 16:46:51,15.1945723596062,35.47900994881529,42.24048914521832,25.203419428369973,1.5,47.34175193555097,35.0,2,2,0.75,75.0
2025-03-14 16:46:51,15.26716086510902,35.51973952982317,42.27059908472789,25.251802698523456,1.5,47.37717539379752,35.0,2,2,0.75,75.0
2025-03-14 16:46:52,15.32232134394273,35.57473109353241,42.32553434339564,25.329932845073454,1.5,47.44180510987722,35.0,2,2,0.75,75.0
2025-03-14 16:46:52,15.139534461697616,35.41864082537181,42.17834294659654,25.12697845990468,1.5,47.268638760701805,35.0,2,2,0.75,75.0
2025-03-14 16:46:53,15.162617521044472,35.457477721439766,42.222431121571525,25.157820271495705,1.5,47.320507201848855,35.0,2,2,0.75,75.0
2025-03-14 16:46:53,15.173182437142415,35.36353264013668,42.09364937446811,25.123920032619786,1.5,47.16899926408013,35.0,2,2,0.75,75.0
2025-03-14 16:46:54,15.14451299797567,35.391699108908085,42.14076114588556,25.141914991978936,1.5,47.224424877512426,35.0,2,2,0.75,75.0
2025-03-14 16:46:54,14.941831837291371,35.43888483592299,42.27123583546687,25.09438170524496,1.5,47.37792451231396,35.0,2,2,0.75,75.0
2025-03-14 16:46:55,14.868890119439959,35.44277636520437,42.30073844712584,25.0594968423514,1.5,47.41263346720687,35.0,2,2,0.75,75.0
